,symbol,open_time,open,high,low,close,volume_coin,close_time,volume,num_of_trades,buy_volume_coin,buy_volume,ignore,date
0,BTCUSDT,1606348800000,18741.66,18745.32,18701.44,18741.13,798.233,1606348859999,14944295.77263,2621,364.626,6827141.98204,0,1970-01-01 00:00:01.606348800
1,BTCUSDT,1606348860000,18740.83,18740.83,18678.87,18707.17,644.560,1606348919999,12056845.30867,2759,229.867,4299969.26744,0,1970-01-01 00:00:01.606348860
2,BTCUSDT,1606348920000,18707.18,18718.9,18654.54,18658.06,748.907,1606348979999,13988943.99736,2879,292.547,5466167.15889,0,1970-01-01 00:00:01.606348920
3,BTCUSDT,1606348980000,18658.05,18698.69,18630.96,18673.02,1020.740,1606349039999,19046329.74368,3689,502.528,9378197.14392,0,1970-01-01 00:00:01.606348980
4,BTCUSDT,1606349040000,18675.01,18699.0,18634.1,18664.71,634.190,1606349099999,11837915.20557,2784,344.434,6429107.68013,0,1970-01-01 00:00:01.606349040
5,BTCUSDT,1606349100000,18664.71,18700.0,18656.41,18696.86,402.377,1606349159999,7517312.23446,1915,322.707,6028923.03088,0,1970-01-01 00:00:01.606349100
6,BTCUSDT,1606349160000,18697.82,18723.49,18678.96,18703.37,263.089,1606349219999,4920106.83959,1754,147.292,2755062.88229,0,1970-01-01 00:00:01.606349160
7,BTCUSDT,1606349220000,18703.36,18717.51,18687.56,18704.29,131.631,1606349279999,2461978.45173,1063,68.985,1290259.41565,0,1970-01-01 00:00:01.606349220
8,BTCUSDT,1606349280000,18703.63,18732.38,18700.01,18724.8,233.036,1606349339999,4362040.13686,1325,164.043,3070667.11316,0,1970-01-01 00:00:01.606349280
9,BTCUSDT,1606349340000,18724.8,18784.09,18716.95,18765.0,792.051,1606349399999,14857489.50006,2792,604.041,11329847.08888,0,1970-01-01 00:00:01.606349340
10,BTCUSDT,1606349400000,18765.0,18791.2,18761.34,18786.86,388.317,1606349459999,7292472.32701,1646,241.360,4532671.70330,0,1970-01-01 00:00:01.606349400
11,BTCUSDT,1606349460000,18786.86,18795.5,18786.85,18790.0,183.461,1606349519999,3447576.75582,1108,126.172,2371028.00646,0,1970-01-01 00:00:01.606349460
12,BTCUSDT,1606349520000,18791.0,18791.0,18761.93,18762.11,384.892,1606349579999,7225463.4858,1446,56.192,1054957.48223,0,1970-01-01 00:00:01.606349520
13,BTCUSDT,1606349580000,18762.46,18781.48,18756.11,18781.48,236.768,1606349639999,4444292.05797,1133,114.415,2148126.52249,0,1970-01-01 00:00:01.606349580
14,BTCUSDT,1606349640000,18781.47,18805.99,18763.84,18800.01,449.790,1606349699999,8452168.43548,1572,297.676,5594283.65550,0,1970-01-01 00:00:01.606349640
15,BTCUSDT,1606349700000,18800.01,18819.28,18795.0,18819.02,336.187,1606349759999,6324004.00566,1253,217.286,4087477.33839,0,1970-01-01 00:00:01.606349700
16,BTCUSDT,1606349760000,18819.02,18840.0,18818.0,18837.53,384.370,1606349819999,7236685.97681,1680,224.513,4227259.12394,0,1970-01-01 00:00:01.606349760
17,BTCUSDT,1606349820000,18837.54,18849.48,18823.5,18835.95,375.333,1606349879999,7069153.72472,1433,172.163,3243014.16562,0,1970-01-01 00:00:01.606349820
18,BTCUSDT,1606349880000,18835.95,18837.0,18822.88,18833.89,208.217,1606349939999,3920794.59447,1087,62.931,1185016.72934,0,1970-01-01 00:00:01.606349880
19,BTCUSDT,1606349940000,18834.56,18834.8,18806.01,18827.52,302.016,1606349999999,5683873.70047,1295,49.896,938901.72159,0,1970-01-01 00:00:01.606349940
20,BTCUSDT,1606350000000,18827.52,18836.43,18814.8,18830.83,142.272,1606350059999,2678395.86164,1019,69.853,1315092.34521,0,1970-01-01 00:00:01.606350000
21,BTCUSDT,1606350060000,18830.83,18830.84,18815.75,18820.49,95.171,1606350119999,1791221.09069,786,39.284,739378.75278,0,1970-01-01 00:00:01.606350060
22,BTCUSDT,1606350120000,18820.49,18861.04,18817.08,18861.04,254.791,1606350179999,4801851.01133,1186,164.164,3094416.29668,0,1970-01-01 00:00:01.606350120
23,BTCUSDT,1606350180000,18861.04,18866.0,18844.2,18848.37,266.081,1606350239999,5016342.85284,1425,73.819,1391998.54297,0,1970-01-01 00:00:01.606350180
24,BTCUSDT,1606350240000,18848.37,18849.67,18818.91,18827.85,168.821,1606350299999,3178986.30015,907,40.417,761064.72843,0,1970-01-01 00:00:01.606350240
25,BTCUSDT,1606350300000,18827.69,18833.85,18817.11,18817.41,93.339,1606350359999,1756958.24559,650,31.592,594649.90120,0,1970-01-01 00:00:01.606350300
26,BTCUSDT,1606350360000,18817.42,18845.98,18813.0,18844.93,138.027,1606350419999,2598597.35216,661,71.908,1353968.40831,0,1970-01-01 00:00:01.606350360
27,BTCUSDT,1606350420000,18845.11,18894.78,18833.82,18885.01,1031.331,1606350479999,19464945.04565,2230,845.438,15956928.37779,0,1970-01-01 00:00:01.606350420
28,BTCUSDT,1606350480000,18885.01,18895.73,18870.6,18881.65,488.704,1606350539999,9228574.42341,1871,236.851,4473299.40843,0,1970-01-01 00:00:01.606350480
